"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.39780016805073","7.3307821164767","8.9836329526421","8.80815080998568","11.1654253755808","7.4991883362323","9.19892998525612","10.0615895954073","7.17818402076241","6.99182526628836","5.51638222716272","6.51922474428271","6.43646808177275","4.44200208622654","2.79917673659362","4.72918684040537","3.04724285046237","3.0224917682695","4.44378134238713","5.80254874865959","5.69988565686129","11.9670649131008","9.37786517256645","8.0181182453235","12.2030166335723","11.3424311454484","12.416108239248","10.9078626356333","10.4969672233527","",
"Afghanistan","AFG","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.754695247067951","0.113481634587195","0.402819292924976","0.487686262693032","0.344156289997136","0.313643499018774","0.553881984367382","1.55148595351724","1.87526084674456","2.80585396332281","3.73588202243344","3.54864769227737","2.59522269404553","2.39042205413598","2.2440821580961","","","",
"Africa Western and Central","AFW","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","4.90475912919296","7.49134671428538","9.01092255466077","2.25269342225254","4.69056520929488","4.76891924372924","4.69903012674081","7.42070282574941","12.2573141802833","16.0458504194433","20.8731401982785","23.8472487788982","23.8132848670309","17.2759048791826","25.0073004727072","19.8117827732446","19.2693374750286","17.907204536888","15.5728845838456","12.4702333337815","18.7291320397623","15.8491682496845","15.444148414903","13.7815823008027","14.6330700494153","10.5893841468538","9.51853945518885","11.5921787805059","8.19750784485796","6.81935697575363","6.03965192077705","11.5392560526889","8.64663589308386","3.22208398908646","4.05184475794437","2.60932590407581","1.60892647195801","1.43531453629044","1.42688950902897","2.29488931599044","2.51479536473748","3.64005200114297","4.92204409507879","5.08370156706602","5.52803270768926","6.35582295388032","8.07265009142496","8.18322773711757","6.18548482564131","",
"Angola","AGO","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.62706000948167","7.06505982762928","9.22874938387061","4.79205458001564","2.93441626789502","6.41967160827725","10.7701422388614","17.5217177750125","18.3461215631972","40.1984108164805","26.2099293204466","20.6168753180352","32.7930584219332","16.7392257570693","15.2473334885148","13.5688683961263","10.5212675193515","12.9751118227908","9.65587661135239","2.44356681376533","8.49582807984923","4.45216268102828","4.12759606940864","6.01528189755654","7.38371920444771","12.3133748846616","19.8323066990569","33.0181373397283","22.7320993525535","22.0985621174355","28.0148137644131","32.4430868992767","26.2935149926242","17.5495464714055","",
"Albania","ALB","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.29887168674699","2.17526038751346","3.17620015741834","6.63578141560799","1.97426736758052","4.36355304424004","13.7492488493594","8.36030479390681","4.32975848421053","4.08926321599045","4.10415419763616","6.47285588325464","5.01284692817012","4.74380409315947","4.44191909323202","4.37998012053594","3.65450734719358","3.14336489120975","4.82722888374759","6.83537687202513","7.55635667663245","7.96709489592221","5.06274236553786","6.32797011387065","16.9562909343761","7.23736770869138","6.82537209644591","13.1357617851945","7.33207814455998","17.7041910267793","8.96116062637774","6.37680498237314","",
"Andorra","AND","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","20.9286174674909","17.9566700771742","33.9056163067892","15.0246142617991","18.4411639100161","18.4133747522236","23.9984993162481","25.766435588898","38.0438806700979","43.8393054100107","66.629926924556","65.3038056459672","39.9611197297535","31.4304928591596","34.8874220823826","31.0208227547731","24.2543244500791","26.685752251754","18.5040509379","20.5009776835245","23.4138917810621","27.6513301036485","28.1614219578564","37.5021736627477","40.2876017613837","31.8056957802838","15.5964927610336","34.9563582469504","19.900580316215","14.2054415594713","23.0847795196932","6.91209218283277","6.73971047343004","10.921743293299","10.4244736533813","7.75775017071539","6.32096029456617","8.06390849713049","11.9788124229574","15.9050054633809","23.8105810555445","38.6975972552592","32.2964610537858","34.1117564913988","17.585133742023","12.1081227872147","24.9642337370392","",
