"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398268156.424581","473296089.385475","579608938.547486","684245810.055866","757039106.145251","864301675.977654","948994413.407821","1065363128.49162","1225810055.86592","1305474860.3352","1362067039.10615","1508659217.87709","1659776536.31285","1680223463.68715","1849411062.79527","1839207480.21675","1826139007.79212","1990803451.06185","2180507305.17922","1881063655.85868","2363943590.94565","2293013752.79546","2726393645.82268","2465043416.01155","2313385208.34223","2391841421.69265","2499117856.83507","2563517252.61515","2688102414.15341","2838143923.69755","2848406211.58448","2921800986.53875","3061447241.96034","3242394296.54708","2490732720.32184","3009247534.1812","3421948336.71287","",
"Africa Eastern and Southern","AFE","GNI (current US$)","NY.GNP.MKTP.CD","17132619494.2653","17891946779.8655","18995896447.0075","20624684092.1151","22334562704.4771","24819997536.0352","26932530246.6753","29753510135.0684","32205830486.7868","36240355792.4156","39564939895.4146","43337386369.0883","46601788062.6098","61116035154.2523","75126347353.2788","79624738415.4305","79580645457.2221","88676244581.2465","99138220952.6399","117720455451.006","155507747360.135","163239042629.84","153456274834.083","164266275838.434","151799264549.905","125504175338.129","140646253515.481","173723524128.751","189347550263.576","204444054069.387","236431058094.25","255491810704.839","222147421724.819","221161298950.233","228604208251.317","259443244650.047","257581891322.251","272411717871.184","256088665820.135","251670711008.255","272608860891.534","247573888501.482","254799046679.644","340473698487.374","424158472800.873","493869731862.409","553186295908.258","630599609318.603","670182480278.386","693430659480.405","826978466334.16","927754019410.923","942664854328.208","945975401836.198","969481086651.889","900992822588.376","867405682220.316","997367771217.529","983689116574.636","977951684510.712","909081558944.517","1061574645402.54","1153982775039.77","",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","548888848.888889","560000022.222222","557777806.666667","766666706.666667","815555562.222222","1026666677.77778","1428888871.11111","1708888882.22222","1402222182.22222","1437777737.77778","1784444426.66667","1868886653.33333","1631108937.77778","1771108944.44444","2202222228.88889","2417777777.77778","2611111162.22222","3017777697.77778","3371111037.77778","3775743789.47368","3716553247.16553","3551514995.9596","","","","","","","","","","","","","","","","","","","","","","","","","","","10107195903.4174","12378340846.0194","15885775005.6534","17781511591.793","19961261723.92","20209353777.0794","20559672368.8455","19249499539.0651","18350475879.3856","18961769796.7873","18294514005.3864","19080661934.0984","20105156778.5781","14352632363.6439","","",
"Africa Western and Central","AFW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530966005724.445","475150250035.584","556376567769.666","632635256420.024","690211843040.877","781659111143.647","860539218589.346","747481553257.46","676836465143.349","667550516119.796","745898349463.568","803214084213.274","772675932915.766","819111418223.572","846728939551.225","",
"Angola","AGO","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6688963210.70234","6688963210.70234","6688963210.70234","6688963210.70234","10033444816.0535","10033444816.0535","10401188707.2808","3498032356.7993","3414876443.56141","1943279029.73498","4771491965.00864","5062080383.73578","6754412599.32001","5537591457.45265","4780892935.90614","7448734812.9459","7375089250.88839","13650936353.3422","16086223657.3645","21063494094.9162","32940012346.2689","46203157597.557","57667388363.1047","74821117193.8337","63484055202.6084","75712611890.2905","102092420980.521","117631161532.631","122755567176.275","127708790346.34","85895384685.3948","50010057162.8966","69161228521.9222","73313113209.727","64488157731.2022","44145038204.989","61051288256.942","98737631914.3674","",
"Albania","ALB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1860537995.338","1898450116.55012","2097426250","2081196250","2051436250","2252990000","2026653750","1077859027.77778","617074990.170926","1219215468.95285","1894750864.46173","2436364853.42107","3271323089.4058","2308847102.93115","2622487165.91691","3287389862.41854","3585007221.82101","4048094111.09564","4457186384.03827","5762066193.23098","7353974652.91914","8214108577.31472","9158294214.47949","10975296958.7017","12946373404.4206","11852736925.0939","11807769437.1323","12894099798.9481","12228069196.1144","12996543353.0861","13349419700.4171","11521811393.6203","12053832974.203","13051517643.6213","15137984850.8323","15200244588.0406","14912504601.9328","17680966714.6445","18569375310.9639","",
"Andorra","AND","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3462356539.30028","3268589821.20054","3577090457.86673","","",
"Arab World","ARB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","47439414485.5535","53974401483.991","64229122444.8932","81015261651.6486","159160831465.236","181375451233.522","228342653197.402","258846253902.88","287468966040.278","380494432066.953","517722092337.441","523742652967.848","492705664338.517","468494611858.96","476291228360.746","469812694039.501","460569998386.147","490664785720.293","492921912965.667","525187217794.426","739564119159.555","492152950129.234","490926191283.735","506287628846.259","533262401008.342","569325565926.292","606589344864.969","654453527144.927","642750209294.258","705311399776.238","801275912815.673","788878694774.01","797620126126.498","879867794044.87","1051615057524.56","1286014329511.64","1541225391087.4","1803275233039.58","2262054927603.59","1975051200429.67","2313292256117.36","2540535196742.27","2785276954259.42","2850211714146.3","2903174881782.72","2563541013819.73","2553725917159.8","2652349095539.93","2846993985386.43","2870693454587.09","2534478009318.32","2936505079134.46","3537293033766.64","",
"United Arab Emirates","ARE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109429271613.342","108376310415.248","110737372362.151","124291899251.191","148532334921.715","183503785187.202","226854458815.521","266289176310.415","319278564002.723","256161470388.019","300105186118.127","360973515596.506","384909648869.397","400681429679.521","414758872545.16","372018151656.831","371351990633.321","393295701225.487","428474711250.775","420059156724.283","347594186201.473","414443598760.354","504574791962.897","",
"Argentina","ARG","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","103270000000","107138285714.286","83672500000","101414893617.021","103962616822.43","121405714285.714","70212828648.3678","135150300109.313","183857364656.529","224521060685.899","233743662862.863","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","92763789032.7018","122451951871.839","146361588317.154","176153368006.277","224897476611.227","279994211725.862","352615480862.974","322744327792.305","409192468872.686","515004538945.145","533073608485.977","540185748561.537","515532241212.846","583615452086.538","545251641127.714","627200463933.824","506094045059.703","430166792070.565","375344057341.93","478061739465.094","619144891408.819","",
