Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","050","Bangladesh","5610","Import Quantity","0113","Rice","2018","2018","t","29.99","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","050","Bangladesh","5610","Import Quantity","0113","Rice","2019","2019","t","18.78","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","050","Bangladesh","5610","Import Quantity","0113","Rice","2020","2020","t","11.7","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","056","Belgium","5610","Import Quantity","0113","Rice","2018","2018","t","0.79","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","076","Brazil","5610","Import Quantity","0111","Wheat","2020","2020","t","62460","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","156","China, mainland","5610","Import Quantity","0113","Rice","2019","2019","t","5.18","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","250","France","5610","Import Quantity","0111","Wheat","2018","2018","t","191477","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","250","France","5610","Import Quantity","0111","Wheat","2019","2019","t","11.18","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","276","Germany","5610","Import Quantity","0113","Rice","2018","2018","t","1.07","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","276","Germany","5610","Import Quantity","0111","Wheat","2018","2018","t","257434","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","276","Germany","5610","Import Quantity","0111","Wheat","2019","2019","t","139850.1","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","0113","Rice","2018","2018","t","5351.43","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","0113","Rice","2019","2019","t","10483.66","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","0113","Rice","2020","2020","t","10724.88","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","380","Italy","5610","Import Quantity","0113","Rice","2020","2020","t","0.27","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","380","Italy","5610","Import Quantity","0111","Wheat","2018","2018","t","6.15","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","380","Italy","5610","Import Quantity","0111","Wheat","2019","2019","t","37.47","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","428","Latvia","5610","Import Quantity","0111","Wheat","2018","2018","t","129703","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","428","Latvia","5610","Import Quantity","0111","Wheat","2020","2020","t","70100","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","422","Lebanon","5610","Import Quantity","0111","Wheat","2020","2020","t","1.65","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","440","Lithuania","5610","Import Quantity","0111","Wheat","2018","2018","t","260521","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","440","Lithuania","5610","Import Quantity","0111","Wheat","2019","2019","t","259582.9","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","440","Lithuania","5610","Import Quantity","0111","Wheat","2020","2020","t","130500","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","586","Pakistan","5610","Import Quantity","0113","Rice","2018","2018","t","172.68","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","586","Pakistan","5610","Import Quantity","0113","Rice","2019","2019","t","681.94","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","586","Pakistan","5610","Import Quantity","0113","Rice","2020","2020","t","75.67","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","616","Poland","5610","Import Quantity","0111","Wheat","2018","2018","t","64089.5","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","616","Poland","5610","Import Quantity","0111","Wheat","2019","2019","t","66148.78","A","Official figure"
