Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","3016469.02","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","2694644.38","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","1588207.35","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0111","Wheat","2021","2021","t","942.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","036","Australia","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1244.94","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","036","Australia","5610","Import Quantity","0111","Wheat","2020","2020","t","201988.23","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","036","Australia","5610","Import Quantity","0111","Wheat","2021","2021","t","244636.79","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","036","Australia","5610","Import Quantity","0111","Wheat","2022","2022","t","102673.29","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","112","Belarus","5610","Import Quantity","0111","Wheat","2022","2022","t","68345.43","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","056","Belgium","5610","Import Quantity","0113","Rice","2022","2022","t","0.01","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1967964.02","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1830851.87","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","3497432.81","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0111","Wheat","2021","2021","t","942.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0111","Wheat","2022","2022","t","40247.2","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","100","Bulgaria","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","39247.39","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","100","Bulgaria","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","1977.95","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","100","Bulgaria","5610","Import Quantity","0112","Maize (corn)","2022","2022","t","29754.91","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","100","Bulgaria","5610","Import Quantity","0111","Wheat","2020","2020","t","46214.49","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","100","Bulgaria","5610","Import Quantity","0111","Wheat","2022","2022","t","352387","A","Official figure"
