,China,India,United States
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,2.19303005039381,
1971,,0.861678316943728,
1972,,0.901263607576365,
1973,,0.816506871013134,
1974,,0.822457211883897,
1975,,0.876838577749487,
1976,,1.17697893902793,
1977,,1.01006517684012,
1978,,0.952123541884062,
1979,,0.836547889910224,
1980,,0.74871712563341,
1981,0.602389209123968,0.801602920723251,
1982,0.747377160694385,0.986984706760433,
1983,0.87980882992856,1.14121178292621,
1984,0.725171587439453,1.36133389216818,
1985,0.79881909403177,1.47160342023724,
1986,0.990630077291424,2.01146607101978,
1987,1.17832055545774,1.89043205839311,
1988,1.11966162954211,1.9000061681608,
1989,1.23767923053409,2.23167322405491,
1990,1.7837727866364,2.42896753511004,
1991,2.00501325651235,2.79985168851234,
1992,1.74686367093689,2.56225888101984,
1993,1.64566943455813,2.87896747679776,
1994,1.97713726397004,3.23442716248033,
1995,2.08484940433479,3.68764120648438,
1996,1.85094149785744,3.00746387880029,
1997,1.94048947403403,2.95321030962633,
1998,1.820877209919,2.82088700527263,
1999,2.46232604984238,2.18097561513434,
2000,2.22367176548088,2.30193534412263,
2001,1.8935666616569,2.44583880286812,
2002,2.13600300586647,3.0194199680375,
2003,2.2738256624626,4.27098120431118,
2004,1.19482701240096,2.48637589412648,
2005,1.21172086042359,2.93712915146459,
2006,1.00291081955815,1.86526396401862,
2007,0.896095119385478,3.25206703587721,
2008,0.721290268595919,2.59909766161628,
2009,0.783489954475419,1.23889459625915,
2010,0.859610918880835,1.47271485113113,
2011,0.839428131295027,1.62038919563891,
2012,0.848723027907926,1.68674506538768,
2013,0.813211773651031,2.11299315601506,
2014,0.777973466693653,4.60624170266818,
2015,1.15076657916033,2.3885645853738,
2016,1.50077197061373,3.39347044179047,
2017,1.67799262950131,1.95306263787646,
2018,1.7416563263337,2.38022646268864,
2019,1.93672227201723,1.82517493462673,
2020,1.88336622356336,2.89742608489552,
2021,1.90607221634974,1.59672251961867,
2022,2.40867023981984,1.91286266274974,
2023,,,
Unnamed: 68,,,
